datum_zobrazeni;datum;kraj_kod;incidence14_100;incidence_65_14_100;simple_r;pozit_perc_test;podil_zachycen_hosp
2020-11-19;2020-11-18;CZ064;797.071113900000;792.892465000000;0.703000000000;0.270363818167;
2020-11-19;2020-11-18;CZ071;961.844260000000;883.644556400000;0.644704433497;0.305827369650;
2020-11-19;2020-11-18;CZ072;1111.998008700000;1000.502723700000;0.704174228675;0.331954940824;
2020-11-19;2020-11-18;CZ080;977.644208100000;871.157543300000;0.711103989745;0.247159723769;
2020-11-20;2020-11-19;CZ010;456.097931100000;553.020711400000;0.779981114258;0.155604395604;
2020-11-20;2020-11-19;CZ020;725.702293100000;835.336655900000;0.754525987930;0.249871067560;
2020-11-20;2020-11-19;CZ031;1038.686007800000;999.757266800000;0.690827067669;0.330028735632;
2020-11-20;2020-11-19;CZ032;723.005124600000;741.916617900000;0.829899167032;0.293306476603;
2020-11-20;2020-11-19;CZ041;642.087258700000;869.088371100000;0.669781931464;0.241301907968;
2020-11-20;2020-11-19;CZ042;861.303466000000;927.399134500000;0.771994342291;0.293157159737;
2020-11-20;2020-11-19;CZ051;1052.762063600000;982.136898500000;0.727855711422;0.305261388468;
2020-11-20;2020-11-19;CZ052;910.183505000000;1077.826258000000;0.675822190097;0.305455733420;
2020-11-20;2020-11-19;CZ053;1093.632213500000;1048.216053100000;0.865292096219;0.342352141400;
2020-11-20;2020-11-19;CZ063;1396.198213800000;1267.606984300000;0.734788189987;0.369767441860;
2020-11-20;2020-11-19;CZ064;739.100780200000;745.117760400000;0.760070438036;0.275051776326;
2020-11-20;2020-11-19;CZ071;896.181261500000;850.040096200000;0.664054848188;0.313212195873;
2020-11-20;2020-11-19;CZ072;1018.959583200000;922.209677000000;0.730315588141;0.334452554744;
2020-11-20;2020-11-19;CZ080;899.346043700000;791.848157800000;0.739521995150;0.241885231971;
2020-11-21;2020-11-20;CZ010;438.956502300000;535.900559700000;0.800707168113;0.158763543658;
2020-11-21;2020-11-20;CZ020;676.176649100000;763.803381200000;0.773249949566;0.248122734334;
2020-11-21;2020-11-20;CZ031;892.121046500000;867.771102600000;0.640694006309;0.341574167507;
2020-11-21;2020-11-20;CZ032;682.998275900000;684.267691500000;0.836155606407;0.287897888433;
2020-11-21;2020-11-20;CZ041;652.947085400000;859.117950000000;0.677215189873;0.248644461657;
2020-11-21;2020-11-20;CZ042;806.124499800000;892.110916400000;0.791157649796;0.302962797950;
2020-11-21;2020-11-20;CZ051;974.554305900000;855.337797200000;0.756180733162;0.304549356223;
2020-11-21;2020-11-20;CZ052;852.719220800000;1016.690813700000;0.696222050886;0.300099700897;
2020-11-21;2020-11-20;CZ053;1016.718261500000;947.353537200000;0.784796945505;0.332891637220;
