date,positive_total,recovered_total,deceased_total,positive_daily,recovered_daily,deceased_daily,active,positive_increase,positive_increase_5d,growth_factor,ones
2020-05-23,1989,1300,93,5.0,9.0,0.0,596,0.0025201612903225806,0.004795117577844543,0.5,1
2020-05-24,1991,1302,93,2.0,2.0,0.0,596,0.001005530417295123,0.0037603843204178826,0.4,1
2020-05-25,1995,1313,93,4.0,11.0,0.0,589,0.0020090406830738324,0.0033433592942895577,2.0,1
2020-05-26,2001,1322,93,6.0,9.0,0.0,586,0.0030075187969924814,0.0027216214634739866,1.5,1
2020-05-27,2010,1333,93,9.0,11.0,0.0,584,0.004497751124437781,0.0026080004624243593,1.5,1
2020-05-28,2029,1338,94,19.0,5.0,1.0,597,0.00945273631840796,0.003994515468041436,2.111111111111111,1
2020-05-29,2033,1347,94,4.0,9.0,0.0,592,0.001971414489896501,0.004187692282561711,0.21052631578947367,1
2020-05-30,2047,1354,94,14.0,7.0,0.0,599,0.006886374815543532,0.005163159109055651,3.5,1
2020-05-31,2056,1357,94,9.0,3.0,0.0,605,0.004396678065461651,0.005440990962749486,0.6428571428571429,1
2020-06-01,2063,1374,95,7.0,17.0,1.0,594,0.003404669260700389,0.005222374590002006,0.7777777777777778,1
2020-06-02,2075,1387,95,12.0,13.0,0.0,593,0.0058167716917111,0.004495181664662634,1.7142857142857142,1
2020-06-03,2099,1399,95,24.0,12.0,0.0,605,0.011566265060240964,0.006414151778731526,2.0,1
2020-06-04,2109,1411,96,10.0,12.0,1.0,602,0.004764173415912339,0.005989711498805289,0.4166666666666667,1
2020-06-05,2112,1424,96,3.0,13.0,0.0,592,0.001422475106685633,0.005394870907050086,0.3,1
2020-06-06,2115,1427,96,3.0,3.0,0.0,592,0.0014204545454545455,0.004998027964000917,1.0,1
2020-06-07,2123,1433,96,8.0,6.0,0.0,594,0.0037825059101654845,0.004591174807691794,2.6666666666666665,1
2020-06-08,2129,1444,96,6.0,11.0,0.0,589,0.002826189354686764,0.0028431596665809537,0.75,1
2020-06-09,2140,1449,96,11.0,5.0,0.0,595,0.005166744950681071,0.0029236739735347,1.8333333333333333,1
2020-06-10,2150,1464,96,10.0,15.0,0.0,590,0.004672897196261682,0.003573758391449909,0.9090909090909091,1
2020-06-11,2164,1472,97,14.0,8.0,1.0,595,0.0065116279069767444,0.004591993063754349,1.4,1
2020-06-12,2182,1480,97,18.0,8.0,0.0,605,0.00831792975970425,0.005499077833662103,1.2857142857142858,1
2020-06-13,2200,1483,97,18.0,3.0,0.0,620,0.008249312557286892,0.006583702474182128,1.0,1
2020-06-14,2214,1485,97,14.0,2.0,0.0,632,0.006363636363636364,0.006823080756773186,0.7777777777777778,1
2020-06-15,2225,1492,97,11.0,7.0,0.0,636,0.004968383017163505,0.006882177920953551,0.7857142857142857,1
2020-06-16,2239,1499,97,14.0,7.0,0.0,643,0.006292134831460674,0.0068382793058503364,1.2727272727272727,1
2020-06-17,2256,1505,97,17.0,6.0,0.0,654,0.007592675301473872,0.006693228414204261,1.2142857142857142,1
